,LOCATION,TIME,ALCOHOL,GDP,LIFE EXPECTANCY,POPULATION,VACCINATION DTP,VACCINATION MEASLES,HEALTH SPENDING
66,SWE,2019,7.1,56404.032355,83.2,10.278888,98.0,97.0,5387.733
67,SWE,2020,7.5,56135.141361,82.4,10.353444,97.0,97.0,5757.291
68,CHE,2018,9.1,70688.84449,83.8,8.514327,95.9,95.5,6930.7
69,CHE,2019,9.3,72668.384444,84.0,8.57528,96.2,95.3,6942.41
70,CHE,2020,8.9,70804.014012,83.1,8.638169,96.5,97.1,7178.56
71,TUR,2018,1.4,28281.473275,78.3,81.407211,98.0,96.0,1205.305
72,TUR,2019,1.3,28011.191299,78.6,82.579448,98.7,97.0,1231.634
73,TUR,2020,1.2,27971.203588,,83.384688,98.4,95.0,1304.709
74,GBR,2018,9.8,47219.464771,81.3,66.43555,94.0,92.0,4189.708
75,GBR,2019,9.7,49317.511698,81.4,66.796807,93.0,91.0,4385.463
76,GBR,2020,9.7,45867.757803,80.4,67.081234,93.0,91.1,5018.7
77,USA,2018,8.9,62449.612827,78.7,326.838199,94.0,92.0,10451.386
78,USA,2019,9.0,64690.272395,78.8,328.329953,94.0,90.0,10855.517
79,USA,2020,9.3,63480.861222,77.0,331.50108,93.0,91.0,11859.179
80,BRA,2018,6.2,15088.873591,75.7,208.4949,87.0,92.0,1437.449
81,BRA,2019,6.1,15424.038754,75.9,210.147125,70.0,91.0,1497.734
82,CHL,2018,6.3,25496.431399,80.4,18.751405,95.0,93.0,2281.148
83,CHL,2019,7.1,25517.794023,80.6,19.107216,96.0,95.0,2296.988
84,CHN,2018,4.8,15466.329982,76.7,1417.069468,99.1,98.6,810.568
85,CHN,2019,4.5,16624.520609,76.9,1421.864034,99.1,98.8,894.357
86,EST,2018,10.0,36488.637421,78.5,1.321977,91.9,86.9,2364.073
87,EST,2019,10.4,39068.183685,79.0,1.326855,91.4,87.8,2452.289
88,EST,2020,10.5,39456.812096,78.9,1.329479,91.0,90.8,2729.229
89,IND,2018,3.0,6793.930695,69.4,1369.003306,90.0,99.7,214.59
90,IND,2019,3.1,7201.553849,69.7,1383.112051,90.6,95.3,230.721
91,IDN,2018,0.1,,71.5,264.1616,92.6,92.0,
92,IDN,2019,0.1,,71.7,266.9119,96.5,95.1,
93,ISR,2018,3.0,40247.088382,82.9,8.882764,97.6,98.4,2748.975
94,ISR,2019,3.1,40950.3843,82.9,9.054026,98.0,99.0,2790.798
95,RUS,2018,11.1,28821.242897,72.8,146.830572,96.9,97.6,
96,RUS,2019,10.8,29967.119348,73.2,146.764661,96.9,97.7,
97,SVN,2018,10.0,39008.297051,81.5,2.07005,93.0,93.0,3045.106
98,SVN,2019,11.1,42075.856414,81.6,2.08931,95.0,94.0,3221.895
99,SVN,2020,9.8,40860.470781,80.6,2.100126,95.0,94.0,3474.147
100,ZAF,2018,7.2,13191.637554,63.9,57.673251,82.0,81.7,
101,ZAF,2019,7.2,13218.720394,64.1,58.532857,85.0,83.3,
102,COL,2018,4.2,15814.696386,76.5,49.83424,92.0,95.0,1191.885
103,COL,2019,4.1,16484.76194,76.6,50.374478,94.0,95.0,1293.363
104,LVA,2018,11.0,30891.884185,75.1,1.92717,96.0,98.0,1860.969
105,LVA,2019,11.6,32938.582309,75.7,1.913826,100.0,99.0,2025.57
106,LVA,2020,12.1,33008.225642,75.5,1.900448,100.0,98.9,2227.896
107,LTU,2018,11.2,36376.535744,76.0,2.801541,92.3,92.2,2396.809
108,LTU,2019,11.1,39950.760493,76.5,2.794135,92.1,92.7,2682.067
109,LTU,2020,11.4,40124.47344,75.1,2.79489,91.4,90.1,2881.844
110,CRI,2018,3.3,21312.71338,80.3,5.00340195767213,94.0,94.0,1529.721
111,CRI,2019,3.1,22738.413337,80.5,5.05800714721902,95.0,95.0,1556.168
112,CRI,2020,3.2,21763.124576,80.6,5.11123821646865,96.7,94.9,1617.823
113,ARG,2018,8.0,23290.675736,76.5,44.494502,86.0,94.0,
114,ARG,2019,8.0,22997.391755,76.7,44.938712,83.0,86.0,
115,BGR,2018,11.5,23015.898745,75.0,7.0250365,,,1766.905
116,BGR,2019,11.2,25169.908002,75.1,6.9757605,,,1795.621
117,HRV,2018,9.6,28887.862246,78.2,4.087843,,,1882.165
118,HRV,2019,9.6,31572.729293,78.6,4.065253,,,1957.096
119,PER,2018,5.7,,76.5,,84.0,85.0,
120,PER,2019,5.7,,76.7,,88.0,85.0,
121,ROU,2018,11.0,29337.903177,75.3,19.48384,,,1659.316
122,ROU,2019,11.0,32909.566163,75.6,19.375835,,,1844.269
