,LOCATION,TIME,ALCOHOL,GDP,LIFE EXPECTANCY,POPULATION,VACCINATION DTP,VACCINATION MEASLES,HEALTH SPENDING
45,MEX,2020,3.9,18466.909979,75.2,127.792286,85.8,73.0,1226.736
46,NLD,2018,8.3,57825.399708000004,81.9,17.231622,93.5,92.9,5482.27
47,NLD,2019,8.2,60207.71305,82.2,17.344876,93.7,93.6,5643.59
48,NLD,2020,7.2,59815.50154299999,81.4,17.4415,94.2,93.6,6180.0109999999995
49,NZL,2018,8.8,42334.17358,81.7,4.9006,92.6,91.9,3913.078
50,NZL,2019,8.8,45619.997918,82.1,4.9792,91.6,91.8,4249.593
51,NZL,2020,8.7,45414.702452,82.3,5.0902,92.0,91.5,4469.383
52,NOR,2018,6.0,69807.225536,82.8,5.311916,96.0,96.0,6495.078
53,NOR,2019,6.1,69264.453985,83.0,5.347893,97.0,97.0,6476.378000000001
54,NOR,2020,7.2,64166.765766,83.3,5.379472,97.1,96.7,6581.629
55,POL,2018,10.7,31662.210541000004,77.7,38.413139,95.2,92.9,2106.6620000000003
56,POL,2019,11.0,34592.711362,78.0,38.386476,95.0,93.0,2232.347
57,PRT,2018,10.4,34928.618989999995,81.5,10.283822,99.0,99.0,3134.1279999999997
58,PRT,2019,10.4,37299.007207999995,81.9,10.286263,99.0,99.0,3223.676
59,SVK,2018,10.1,31374.187995999997,77.4,5.4467705,96.5,96.1,2008.975
60,SVK,2019,10.3,33461.912918,77.8,5.454147,96.7,96.2,2115.452
61,SVK,2020,9.9,32898.852987,77.0,5.458826999999999,97.0,96.0,2125.666
62,ESP,2018,10.4,40776.768298,83.5,46.728814,93.4,97.1,3427.341
63,ESP,2019,10.8,43135.539425999996,84.0,47.105358,95.6,97.9,3522.7670000000003
64,ESP,2020,7.8,37992.368882999996,82.4,47.355685,94.8,97.5,3718.054
65,SWE,2018,7.2,53521.635777999996,82.6,10.175215,97.0,97.0,5419.273
66,SWE,2019,7.1,56404.032354999996,83.2,10.278888,98.0,97.0,5387.733
67,SWE,2020,7.5,56135.141361,82.4,10.353444,97.0,97.0,5757.291
68,CHE,2018,9.1,70688.84449,83.8,8.514327,95.9,95.5,6930.7
69,CHE,2019,9.3,72668.38444400001,84.0,8.575280000000001,96.2,95.3,6942.41
70,CHE,2020,8.9,70804.014012,83.1,8.638169,96.5,97.1,7178.56
71,TUR,2018,1.4,28281.473275,78.3,81.407211,98.0,96.0,1205.305
72,TUR,2019,1.3,28011.191299000002,78.6,82.579448,98.7,97.0,1231.634
74,GBR,2018,9.8,47219.464771,81.3,66.43555,94.0,92.0,4189.708
75,GBR,2019,9.7,49317.511698,81.4,66.796807,93.0,91.0,4385.463
76,GBR,2020,9.7,45867.757803,80.4,67.081234,93.0,91.1,5018.7
77,USA,2018,8.9,62449.612827,78.7,326.83819900000003,94.0,92.0,10451.386
78,USA,2019,9.0,64690.27239500001,78.8,328.329953,94.0,90.0,10855.517
79,USA,2020,9.3,63480.861222,77.0,331.50108,93.0,91.0,11859.178999999998
80,BRA,2018,6.2,15088.873591,75.7,208.4949,87.0,92.0,1437.4489999999998
81,BRA,2019,6.1,15424.038754,75.9,210.147125,70.0,91.0,1497.734
82,CHL,2018,6.3,25496.431399,80.4,18.751405,95.0,93.0,2281.1479999999997
83,CHL,2019,7.1,25517.794023,80.6,19.107216,96.0,95.0,2296.988
84,CHN,2018,4.8,15466.329982,76.7,1417.069468,99.1,98.6,810.568
85,CHN,2019,4.5,16624.520609,76.9,1421.864034,99.1,98.8,894.357
86,EST,2018,10.0,36488.637421,78.5,1.321977,91.9,86.9,2364.073
87,EST,2019,10.4,39068.183685,79.0,1.326855,91.4,87.8,2452.2889999999998
88,EST,2020,10.5,39456.812096,78.9,1.329479,91.0,90.8,2729.2290000000003
89,IND,2018,3.0,6793.930695,69.4,1369.003306,90.0,99.7,214.59
90,IND,2019,3.1,7201.553849,69.7,1383.112051,90.6,95.3,230.72099999999998
93,ISR,2018,3.0,40247.088382,82.9,8.882764,97.6,98.4,2748.975
94,ISR,2019,3.1,40950.3843,82.9,9.054026,98.0,99.0,2790.798
95,RUS,2018,11.1,28821.242897000004,72.8,146.830572,96.9,97.6,
96,RUS,2019,10.8,29967.119348,73.2,146.76466100000002,96.9,97.7,
97,SVN,2018,10.0,39008.297051,81.5,2.07005,93.0,93.0,3045.1059999999998
98,SVN,2019,11.1,42075.856414,81.6,2.08931,95.0,94.0,3221.895
99,SVN,2020,9.8,40860.470781,80.6,2.100126,95.0,94.0,3474.147
